"","name","hashtag","text"
"4101","googuns_lulz","","4fd03f4b6a2aa349a9d330750cf59442de8bb2e3bd906d8ce2705e919b490c269ce04a47c59cd7436dc59c52575c7ca071bd733f49dc4d8127217f1e3f3801607da63b000000"
"56954","CUBE_LiveFeed","CrepesYWaffles nowplaying MichaelBuble cubevenue ","Crepes &amp; Waffles Parque de la 93 #CrepesYWaffles is #nowplaying Sway by #MichaelBuble #cubevenue"
"939","everyEarthquake","earthquake quake ","USGS reports a M3.3 #earthquake 35km NNW of Valdez, Alaska on 12/1/17 @ 7:05:53 UTC https://t.co/9wabgfJEaC #quake"
"85151","googuns_lulz","","79e36fc2b519e5c0200e364382544a62ae056a66858db8d018a4afe23b79e481fe5218ff06bd140a3788789bb7a3eeb7285992462adb9d411c1… https://t.co/PGtDve0264"
"86788","CUBE_LiveFeed","CrepesYWaffles nowplaying AlDegregoris cubevenue ","Crepes &amp; Waffles Fontanar #CrepesYWaffles is #nowplaying No Holding Back (Ft. Nils) by #AlDegregoris #cubevenue"
"42448","CUBE_LiveFeed","CrepesYWaffles nowplaying Jr cubevenue ","Crepes &amp; Waffles Fontanar #CrepesYWaffles is #nowplaying Harry Connick, Jr. - The Jitterbug by #Jr.HarryConnick #cubevenue"
"71577","ultabeautyjobs","job HolidaySeason JoinUs ","Can you recommend anyone for this #job? Beauty Advisor Seasonal - https://t.co/lbtzoUhpVb #HolidaySeason #JoinUs… https://t.co/ygIeC2VxS5"
"5008","infosrv","","[20:31:47] 179.252.163.224:19547 &gt;&gt; :23 (TCP:SYN)"
"96349","CUBE_LiveFeed","Dodge nowplaying LadyGaga cubevenue ","Go #Dodge Edmonton is #nowplaying Poker Face by #LadyGaga #cubevenue"
"98893","PhotoSchedule","Indiana Sunset Photo Photography ","Good evening #Indiana! Sun will set in 30 minutes (local time 16:27) #Sunset #Photo #Photography [31.12.2017]"
"22112","CUBE_LiveFeed","UnitedCycle nowplaying GregLake cubevenue ","#UnitedCycle Edmonton is #nowplaying I Believe In Father Christmas by #GregLake #cubevenue"
"15493","JobsatVA","Fairfield job Physician Veterans Hiring ","If you're looking for work in #Fairfield, CA, check out this #job: https://t.co/m9ADRTB6i1 #Physician #Veterans #Hiring"
"64858","CUBE_LiveFeed","CrepesYWaffles nowplaying MilkyChance cubevenue ","Crepes &amp; Waffles Fontanar #CrepesYWaffles is #nowplaying Fairytale by #MilkyChance #cubevenue"
"28687","googuns_lulz","","96d5a5a68cfb8f1c20979313fc2e1a546d0ebc70c13ee4376b25b1ec25cf8d35e15cc7e17634b78077e16cdf965b9a6547548e84f74fc43ad76… https://t.co/OmEfgyRI5d"
"36835","wecarpool","","San Francisco, I want to have FUN tonight! What is FUNcation? https://t.co/DG7Fei4G1q } https://t.co/I6wYhdIrZA"
"8314","CUBE_LiveFeed","UnitedCycle nowplaying BandAid30 cubevenue ","#UnitedCycle Edmonton is #nowplaying Do They Know It's Christmas? (2014) by #BandAid30 #cubevenue"
"70903","CUBE_LiveFeed","Nissan SanMarcos nowplaying VinceGuaraldiTrio cubevenue ","#Nissan #SanMarcos is #nowplaying Skating by #VinceGuaraldiTrio #cubevenue"
"29653","googuns_lulz","","d028ddb3a9287220202bb037b1a016bec874af595f62066704f7ba657c8324a68da8c1944154a1fb8aa4f2700024e123dd6f1ee2b96596b089e… https://t.co/6FiaDsM9uN"
"5056","CUBE_LiveFeed","Dodge nowplaying BadSuns cubevenue ","Go #Dodge Edmonton is #nowplaying We Move Like The Ocean by #BadSuns #cubevenue"
"49865","infosrv","","[21:59:51] 191.101.167.73:53640 &gt;&gt; :8100 (TCP:SYN)"
"72582","CUBE_LiveFeed","PalmillaBeach nowplaying LateNightAlumni cubevenue ","#PalmillaBeach pool is #nowplaying Every Breath Is Like a Heartbeat by #LateNightAlumni #cubevenue"
"63371","googuns_lulz","","8e39b9ade2d9030420b6b03d35e795c42881386d18ef47bca5ccca47e1f16185e4bc9398bb83297bf8288e2dc17d67370d4a972590adb00a589… https://t.co/ffV9xQ4jdW"
"225","CUBE_LiveFeed","CrepesYWaffles nowplaying JoanaDuah cubevenue ","Crepes &amp; Waffles Parque de la 93 #CrepesYWaffles is #nowplaying Black Or White (Bossa Version) by #JoanaDuah #cubevenue"
"40171","wecarpool","job drivers ","#job Looking for #drivers in Houston! Carpool people to fun local events and earn some $$$! Signup… https://t.co/oKD7LnkLnk"
"13927","googuns_lulz","","5d3047c6a41dcd4e2fd7a1b416d88547bcbb4f94c5084a7b66bed0bb4aa5cd858a91f3d026be97726a719577df5f3bd3424ab34108477b3114e2c3d2e26a01a051aedf000000"
"76575","CUBE_LiveFeed","PalmillaBeach nowplaying EltonJohn cubevenue ","#PalmillaBeach pool is #nowplaying Tiny Dancer by #EltonJohn #cubevenue"
"27934","wecarpool","","Dallas, is there enough FUN in your life? FUNcation! Because 925 is boring &amp; 420 is too much!… https://t.co/tX2CqllYOP"
"12682","CUBE_LiveFeed","CrepesYWaffles nowplaying AnitaO cubevenue ","Crepes &amp; Waffles Usaquen #CrepesYWaffles is #nowplaying A Blues Serenade by #AnitaO'Day #cubevenue"
"6473","infosrv","","[06:16:54] 208.100.26.228:50460 &gt;&gt; :81 (TCP:SYN)"
"87533","CUBE_LiveFeed","CrepesYWaffles nowplaying JamieCullum cubevenue ","Crepes &amp; Waffles Parque de la 93 #CrepesYWaffles is #nowplaying Twentysomething by #JamieCullum #cubevenue"
"26360","SnapKitchenJobs","Philadelphia job careers hiring fastcasual Headbaker ","If you're looking for work in #Philadelphia, PA, check out this #job: https://t.co/A3ivS7o7qZ #careers #hiring #fastcasual #Headbaker"
"384","CUBE_LiveFeed","PalmillaBeach nowplaying EltonJohn cubevenue ","#PalmillaBeach pool is #nowplaying Crocodile Rock by #EltonJohn #cubevenue"
"21223","googuns_lulz","","93c6187ae242978b3a5d2c94278dcd7b124c807137cb6a1d94354a184496e760ceea8c5d35a6f8f1788d668a6d63adab39365954ce034c6447f01c04783901505b1f1b000000"
"73422","lentaminen","TEB flightdelay ","Departure delays are no longer in effect for #TEB #flightdelay https://t.co/m06PhGoUK9"
"67157","StartleMusic","nowplaying ","O Tannenbaum by Andrea Bocelli is #nowplaying in Market Basket, Omaha."
"97661","googuns_lulz","","2281900e700dd8e0200a7a7edd524d92223768244ac1d1ac1c7b9f89c74b095b0e066856d154b33ca0a1e61363e3059a1b7c4caf0a16d8ec352… https://t.co/IzG1IBJIYx"
"34503","gleidson79","","Uma chuva de bênçãos pra vc! 🙌🙏🎂👏👏 em Fé-licidade https://t.co/QL8wNT997u"
"98276","SONICjobs","LasCruces job TeamSonic SonicJobs Hospitality Hiring ","If you're looking for work in #LasCruces, NM, check out this #job: https://t.co/1eUgH8zZ8H #TeamSonic #SonicJobs #Hospitality #Hiring"
"32629","CUBE_LiveFeed","CrepesYWaffles nowplaying AnitaO cubevenue ","Crepes &amp; Waffles Fontanar #CrepesYWaffles is #nowplaying Stella by Starlight by #AnitaO'Day #cubevenue"
"1491","googuns_lulz","","6475ba01902eda7c47c5dfb6b307187ce27c023859079d571db5b5250a9c59dba1aa0cb2cd17e7eeb6dacc9021d8a548e25fbb4b602ee0f393e23e9daf1f0139e84f22000000"
"51984","infosrv","","[11:05:26] 74.125.206.197:80 &gt;&gt; :51980 (TCP:ACK/SYN)"
"96308","CUBE_LiveFeed","PeoplesDrugMart nowplaying RachelPlatten cubevenue ","#PeoplesDrugMart Terrace is #nowplaying Fight Song by #RachelPlatten #cubevenue"
"83831","infosrv","","[08:41:56] 104.236.178.50:52669 &gt;&gt; :8080 (TCP:SYN)"
"71000","wynnmart","","wynnpalace @ Sanitizeit https://t.co/aIgcXpCbyB"
"80948","googuns_lulz","","fc1a38774fff0c2d20f2c1c531fe6e4c645e20983a05880532231f7ea09169ef424593236809f596a556b942fd62cb9eac1bd6e9c42af832dff… https://t.co/Lh6Uez1onk"
"10772","CUBE_LiveFeed","CrepesYWaffles nowplaying MazzyStar cubevenue ","Crepes &amp; Waffles Parque de la 93 #CrepesYWaffles is #nowplaying Sparrow by #MazzyStar #cubevenue"
"45309","gc_olegitimo","deontem ","#deontem Ninguém precisa ser maior que suas vitórias e nem menor que suas derrotas. @ South… https://t.co/1PeGejzPn7"
"30248","wecarpool","","Indianapolis, I want to have FUN tonight! What is FUNcation? https://t.co/DG7Fei4G1q ) https://t.co/7VDnMQyyAb"
"48899","CUBE_LiveFeed","Dodge nowplaying Cayucas cubevenue ","Go #Dodge Edmonton is #nowplaying Hella (Radio Edit) by #Cayucas #cubevenue"
"54027","infosrv","","[02:39:39] 74.125.206.197:80 &gt;&gt; :63302 (TCP:ACK/SYN)"
"59551","CUBE_LiveFeed","UnitedCycle nowplaying DeanMartin cubevenue ","#UnitedCycle Edmonton is #nowplaying Let It Snow, Let It Snow, Let by #DeanMartin #cubevenue"
"83718","PandaCareers","hiring ElPaso Hospitality Job Jobs ","Want to work at Panda Express? We're #hiring in #ElPaso, TX! Click for details: https://t.co/fc88IWWqMQ #Hospitality #Job #Jobs"
"67514","AVS_Members","jobs ","Now Hiring: Visiting Assistant Professor of Physics  | Wabash College: US - IN - Crawfordsville | https://t.co/cJCTxG19cH #jobs"
"23305","CUBE_LiveFeed","NestersMarket nowplaying SufjanStevens cubevenue ","#NestersMarket Whistler is #nowplaying Put The Lights  On The Tree by #SufjanStevens #cubevenue"
"49656","CUBE_LiveFeed","PeoplesDrugMart nowplaying FitzandTheTantrums cubevenue ","#PeoplesDrugMart Terrace is #nowplaying Santa Stole My Lady by #FitzandTheTantrums #cubevenue"
"55989","infosrv","","[17:28:42] 189.46.45.19:8786 &gt;&gt; :23 (TCP:SYN)"
"43572","Daytimejobs","job milspouse workingmoms ","Join the First Watch team! See our latest #job opening here: https://t.co/IAtwOYUQKh #milspouse #workingmoms… https://t.co/Ug5TjzUA6q"
"96858","MedExpressJobs","job NowHiring physician WallTownship Hiring ","This #job might be a great fit for you: Physician - https://t.co/WCVlaOazdf #NowHiring #physician #WallTownship, NJ #Hiring"
"93760","googuns_lulz","","327af3d25a9c3bfa2060ddeef26d210279f08534fbccb251d8dd4a835a87fb18dbaae45147b898537fd4324bf09746f25483ad1ff0b6501eff4… https://t.co/zkJLwXIKlY"
"93037","CUBE_LiveFeed","CrepesYWaffles nowplaying DamienRice cubevenue ","Crepes &amp; Waffles Usaquen #CrepesYWaffles is #nowplaying The Blowers Daughter (Acoustic) by #DamienRice #cubevenue"
"28998","CUBE_LiveFeed","CrepesYWaffles nowplaying LisaEkdahl cubevenue ","Crepes &amp; Waffles Parque de la 93 #CrepesYWaffles is #nowplaying Cry Me A River by #LisaEkdahl #cubevenue"
"37305","googuns_lulz","","9df0857c65f27acf20c57ae0cb18a2af42550b2e0fae750e489e3e4b50b90100031056be6dbca4947f5a79d1a95c071ecbe42b79e1ab961cbdd… https://t.co/zS7hzBorY6"
"76418","infosrv","","[03:03:16] 191.255.3.230:40019 &gt;&gt; :23 (TCP:SYN)"
"82886","CUBE_LiveFeed","ToyotaofBoerne nowplaying LewisHuey cubevenue ","#ToyotaofBoerne is #nowplaying The Heart Of Rock &amp; Roll by #LewisHuey&amp;TheNews #cubevenue"
"14838","CUBE_LiveFeed","CrepesYWaffles nowplaying StaceyKent cubevenue ","Crepes &amp; Waffles Fontanar #CrepesYWaffles is #nowplaying Ces Petits Riens by #StaceyKent #cubevenue"
"34961","CUBE_LiveFeed","UnitedCycle nowplaying Destiny cubevenue ","#UnitedCycle Edmonton is #nowplaying Winter Paradise by #Destiny'sChild #cubevenue"
"41313","carpoolworld","Carpool Dayton Beavercreek ","#Carpool #Dayton -&gt; #Beavercreek rideshare split costs https://t.co/Ai1q2GauUb"
"91456","CUBE_LiveFeed","PeoplesDrugMart nowplaying MeghanTrainor cubevenue ","#PeoplesDrugMart Terrace is #nowplaying Lips Are Movin' by #MeghanTrainor #cubevenue"
"40581","BostonMarketJob","job BostonMarket FastCasual Dallas Hiring ","Join the Boston Market team! See our latest #job opening here: https://t.co/VvaLXBe7f8 #BostonMarket #FastCasual #Dallas, TX #Hiring"
"92731","googuns_lulz","","13bfa036000828fc2054fd0b69ab6bc4978556728108937c13eeedec3caaad06b23f22e4c96cc33203cc0352d741e8bbf26b4b1597009d50d1e… https://t.co/GPeDrRWlaU"
"51921","Milliondollaguy","7digits datpiff today ","""Download"" my mixtape hosted  By @willieflight937 🤘👌 #7digits mixtape  On #datpiff  #today🔥🔥🔥… https://t.co/nD2YfDNee9"
"16283","ZurichNACareers","JerseyCity businessdevelopment bizdev Job Jobs Hiring ","Want to work in #JerseyCity, NJ? View our latest opening: https://t.co/3HRPWCMPcU #businessdevelopment #bizdev #Job #Jobs #Hiring"
"93452","CUBE_LiveFeed","NestersMarket nowplaying SimonAndGarfunkel cubevenue ","#NestersMarket Whistler is #nowplaying The Only Living Boy In New Yor by #SimonAndGarfunkel #cubevenue"
"62913","googuns_lulz","","50c0756e9ccdd04d20de26f316ef65761a983c6f64d7632abcac27defd1e326dcba25b8cbedd595e67ed13643e77f369270e82d28bef694129c… https://t.co/d5kNOG3XO5"
"75962","Daytimejobs","job restaurant brunch CustomerService DeerfieldBeach Hiring ","This #job might be a great fit for you: Server - https://t.co/gIIDVb6zO6 #restaurant #brunch #CustomerService #DeerfieldBeach, FL #Hiring"
"79690","CUBE_LiveFeed","CrepesYWaffles nowplaying GregAdams ","Crepes &amp; Waffles Parque de la 93 #CrepesYWaffles is #nowplaying Sugar Fish (Ft.. Greg Adams &amp; Jessy J) by #GregAdams&amp;JessyJ.PaulBrown"
"76745","Grindsboarding","fashionblogger fasion fashion skate skateshop skateboarding skateboard clothing ","#fashionblogger #fasion #fashion #skate #skateshop #skateboarding #skateboard #clothing… https://t.co/ORULePlCJh"
"2455","infosrv","","[01:49:55] 190.29.97.17:23088 &gt;&gt; :2323 (TCP:SYN)"
"920","googuns_lulz","","7ae11882550c682a377526e09aed11048071f2eb4f7212f81756655c5c36bf670fc7f818e23d977e47d5a3ff72442de78b211352046bd362bd5e6449686701bb614eda000000"
"85984","googuns_lulz","","45ef3ad025a5990e208fb18f4ca0160024338628b97f45774bce33a6664ddc18071a86630bf8c4a5f7e31ef9e033755f93f4333a11017e088c7… https://t.co/BsXDrb5Mtk"
"68256","infosrv","","[10:23:34] 104.244.42.194:443 &gt;&gt; :57642 (TCP:RST)"
"19057","WorkAtRoush","AllenPark SkilledTrade Job Jobs Hiring ","Want to work in #AllenPark, MI? View our latest opening: https://t.co/UFOZ8c3dVL #SkilledTrade #Job #Jobs #Hiring"
"36909","googuns_lulz","","942bb4a42cfde0c920080bc43cfa4eac97f3a2f853c31f466398763e590130b0a87ca1dd2f076a2be6c03edcfe151556fbe46850975c47e643f… https://t.co/3dABIgdbwJ"
"62986","APCCareers","job CDL ","This #job might be a great fit for you: Class B CDL Driver / Shot Crew Member - https://t.co/WleiPYMWLa #CDL… https://t.co/BntK5FZVcR"
"85319","CUBE_LiveFeed","CrepesYWaffles nowplaying 3NaBossa cubevenue ","Crepes &amp; Waffles Usaquen #CrepesYWaffles is #nowplaying All The Things You Are by #3NaBossa #cubevenue"
"49548","adolrivera","","regram ig_shotz_le ֹ ✦ Photo by gustavoepfonseca ✦ Chosen by Aluisio… https://t.co/KgfkMppkOE"
"32769","wecarpool","","Hello Seattle! Is there enough FUN in your life? Become a FUNcationeer now at https://t.co/DG7Fei4G1q get 1000 rewa… https://t.co/06FtNGXwKc"
"43156","CUBE_LiveFeed","Dodge nowplaying RiptideMovement cubevenue ","Go #Dodge Edmonton is #nowplaying All Works Out (Radio Edit) by #RiptideMovement #cubevenue"
"94154","CUBE_LiveFeed","UnitedCycle nowplaying SamSmith cubevenue ","#UnitedCycle Edmonton is #nowplaying Too Good At Goodbyes by #SamSmith #cubevenue"
"55963","SONICjobs","job Sikeston Hospitality Hiring ","Can you recommend anyone for this #job in #Sikeston, MO? https://t.co/Vv1MLVBWQt #Hospitality #Hiring"
"26254","wecarpool","","Austin, is there enough FUN in your life? FUNcation! Because 925 is boring &amp; 420 is too much!… https://t.co/YJq8y1lzTw"
"92059","Ryderjobs","job Lansing SupplyChain Hiring ","Interested in a #job in #Lansing, MI? This could be a great fit: https://t.co/jdHIKEKKg7 #SupplyChain #Hiring"
"16770","CUBE_LiveFeed","NestersMarket nowplaying BryanAdams cubevenue ","#NestersMarket Whistler is #nowplaying This Time by #BryanAdams #cubevenue"
"4667","CUBE_LiveFeed","CrepesYWaffles nowplaying KirstenJoyOliSilk cubevenue ","Crepes &amp; Waffles Fontanar #CrepesYWaffles is #nowplaying Like A Whisper by #KirstenJoyOliSilk #cubevenue"
"84809","CUBE_LiveFeed","Dodge nowplaying LadyGagaFeaturingChristinaAguilera cubevenue ","Go #Dodge Edmonton is #nowplaying Do What U Want (Clean) by #LadyGagaFeaturingChristinaAguilera #cubevenue"
"77567","googuns_lulz","","f5d8839421d47ad820b4b3f991b372327dea2e679b33c1c7390c1c7c736baefb2aa74fc752033f7b60d6cd0301aab37c141988ede2e0ec72ed4… https://t.co/E8RJlLWKbb"
"69869","TekRecruitr","Merrimack Engineering Job Jobs Hiring ","Want to work in #Merrimack, NH? View our latest opening: https://t.co/EqL79jKSlw #Engineering #Job #Jobs #Hiring"
"14752","googuns_lulz","","448f52b983a47238f86dc9fb1d98850bf356c70c07ec3f340033f88804f6c9002946a9a44107fb0b12e620d471ecd012a7862dddb1df987509f298946a7001a072a7d3000000"
"79879","CUBE_LiveFeed","PalmillaBeach nowplaying PhilipSelway cubevenue ","#PalmillaBeach pool is #nowplaying Coming up for Air by #PhilipSelway #cubevenue"
"43833","googuns_lulz","","e03d0d8523a7ad8620a5b09f85071910b57c3e6c7b6249277542e09f4402df73270bad67eefca7ce6db742051ff4b37f1a6c680f1e66cdf1eb4… https://t.co/GlNLMBbvRl"
"84393","StartleMusic","nowplaying ","Dracula by Gorillaz is #nowplaying in Vera's On The Drive, Vancouver."
"45337","googuns_lulz","","4e7e37f9b600030a200d5f43abb56f28822c48e1f3214e593774742724ff2cf901d09329f02b11f796e5e5390eeca2874c365da1c2a55cad43b… https://t.co/fUlxNidAe9"
"38061","PhotoSchedule","Bermuda Sunset Photo Photography ","Good evening #Bermuda! Sun will set in 30 minutes (local time 17:14) #Sunset #Photo #Photography [11.12.2017]"
