"","name","hashtag","text"
"675802","tmj_dfw_hrta","hiring job Restaurant Plano CareerArc ","We're #hiring! Read about our latest #job opening here: Server - https://t.co/JashPqfZoj #Restaurant #Plano, TX #CareerArc"
"197381","tmj_WAT_NURSING","job Nursing Kent Hiring CareerArc ","Join the Kindred team! See our latest #job opening here: https://t.co/j4Ds1gyvKE #Nursing #Kent, Washington #Hiring #CareerArc"
"242851","tmj_chi_cosmo","job McHenry Cosmetology Hiring CareerArc ","Can you recommend anyone for this #job in #McHenry, IL? https://t.co/nhR6jXteh5 #Cosmetology #Hiring #CareerArc"
"112240","tmj_phl_health","job Healthcare Wilmington Hiring CareerArc ","This #job might be a great fit for you: Certified Home Health Aides - https://t.co/ZnoG4axT9l #Healthcare #Wilmington, DE #Hiring #CareerArc"
"97476","tmj_LAJ_cstsrv","job CustomerService SanDiego Hiring CareerArc ","Join the Starbucks team! See our latest #job opening here: https://t.co/o4HcMAEsF0 #CustomerService #SanDiego, CA #Hiring #CareerArc"
"272850","EAD_CHILE","","23:04 en Buin Fuego en pastizales o forestal (10-2) B1 la coordinadora y limite urbano https://t.co/tz6F6in3a7"
"599646","tmj_msp_acct","job Accounting Faribault Hiring CareerArc ","Can you recommend anyone for this #job? Accounting Clerk - https://t.co/W8DGpABfWk #Accounting #Faribault, MN #Hiring #CareerArc"
"261479","tmj_mke_cstsrv","hiring job ","We're #hiring! Read about our latest #job opening here: Patient Service Representative - https://t.co/D1KN9Dq24A… https://t.co/X0jvdGQ60l"
"247935","tmj_las_banking","LasVegas Banking Job Jobs Hiring CareerArc ","Want to work in #LasVegas, NV? View our latest opening: https://t.co/ooEh4wgWMC #Banking #Job #Jobs #Hiring #CareerArc"
"505763","tmj_phl_sales","Philadelphia job Sales Veterans Hiring CareerArc ","If you're looking for work in #Philadelphia, PA, check out this #job: https://t.co/Pihz8Ir6GY #Sales #Veterans #Hiring #CareerArc"
"84684","tmj_stl_hrta","job FastCasual ","Can you recommend anyone for this #job? Hourly Shift Supervisor - https://t.co/vkGBXmEjWQ #FastCasual… https://t.co/XCRTI3JHZU"
"19699","tmj_dfw_cstsrv","job CustomerService Dallas Hiring CareerArc ","Join the Starbucks team! See our latest #job opening here: https://t.co/fVLTdjicbG #CustomerService #Dallas, TX #Hiring #CareerArc"
"603291","tmj_cte_nursing","job Killingly Nursing Hiring CareerArc ","Interested in a #job in #Killingly, CT? This could be a great fit: https://t.co/VIujygRccu #Nursing #Hiring #CareerArc"
"491069","24SevenSM","hiring job IT LosAngeles ","We're #hiring! Read about our latest #job opening here: Freelance Systems Admin - https://t.co/e9ajKUv1Wm #IT #LosAngeles, CA"
"598810","tmj_sfo_retail","job Retail SantaRosa Hiring CareerArc ","Can you recommend anyone for this #job? Sales Associate - https://t.co/eYvfQCn1Wz #Retail #SantaRosa, CA #Hiring #CareerArc"
"94838","tmj_gta_cstsrv","Brampton job ","See our latest #Brampton, ON #job and click to apply: barista - Store# 23314, QUEEN &amp; GATEWAY-BRAMPTON -… https://t.co/MFOaTMHXzG"
"325383","tmj_ind_health","Rushville Healthcare Job Jobs Hiring CareerArc ","Want to work in #Rushville, IN? View our latest opening: https://t.co/SBApXVqzx0 #Healthcare #Job #Jobs #Hiring #CareerArc"
"93623","tmj_phl_nursing","job Nursing Lansdale Hiring CareerArc ","Join the BAYADA team! See our latest #job opening here: https://t.co/DTbRJsdmAk #Nursing #Lansdale, PA #Hiring #CareerArc"
"319605","girlfromsocal","","I'm at Buffalo Wings &amp; Rings in Morrisville, NC https://t.co/f0j7HI19DN"
"521534","tmj_VAV_sales","Herndon job Sales Hiring CareerArc ","See our latest #Herndon, VA #job and click to apply: Tax Preparer - https://t.co/zdgtfY3le4 #Sales #Hiring #CareerArc"
"437199","TotalTrafficDFW","Dallas DFWTraffic ","Overturned vehicle, caution in #Dallas on 20 EB at Hampton Rd #DFWTraffic https://t.co/4NzBppXRvr"
"337022","tmj_rch_hrta","hiring Richmond ","Want to work at Einstein Bros. Bagels? We're #hiring in #Richmond, VA! Click for details: https://t.co/LX6lbCJEAf… https://t.co/IrV0ndK87E"
"353865","tmj_sfo_eng","job Engineering Antioch Hiring CareerArc ","Can you recommend anyone for this #job? Strategic Sales Advisor - https://t.co/YkWnVfY6S9 #Engineering #Antioch, CA #Hiring #CareerArc"
"271410","PabloALucero","en ","El tiempo #en Santa Fe: Barrio Constituyentes T: 24.9°C H: 55% ST: 24.9°C P: 996.3hPa Lluvia hoy: 0.0mm."
"269751","tmj_san_retail","Antioch job Retail Hiring CareerArc ","See our latest #Antioch, TN #job and click to apply: Store Team Member - https://t.co/4tftcS9hdI #Retail #Hiring #CareerArc"
"178048","tmj_chi_health","MelrosePark job PhysicalTherapy Hiring CareerArc ","If you're looking for work in #MelrosePark, IL, check out this #job: https://t.co/mdyfZvnuBo #PhysicalTherapy #Hiring #CareerArc"
"565935","RHFAJobs","hiring RHFAJobs Accounting SanFrancisco Job Jobs ","We're #hiring! Click to apply: Senior Accountant - https://t.co/laloodOofo #RHFAJobs #Accounting #SanFrancisco, CA #Job #Jobs"
"12860","tmj_tpa_labor","hiring Tampa Labor Job Jobs CareerArc ","Want to work at UPS? We're #hiring in #Tampa, FL! Click for details: https://t.co/fNzr9QVYum #Labor #Job #Jobs #CareerArc"
