"","name","hashtag","text"
"371930","WinkWestwood","","I’m from Dallas and definitely agree RT @LILCOON95: Smart woman https://t.co/IKxAOC07O3"
"1323655","tmj_nwk_jobs","Newark job Hiring CareerArc ","See our latest #Newark, NJ #job and click to apply: Host - https://t.co/xyRhP47ZDW #Hiring #CareerArc"
"735285","tmj_nhc_eng","job Engineering Manchester Hiring CareerArc ","This #job might be a great fit for you: Customer Service Agent - https://t.co/ZP0VKNkZWh #Engineering #Manchester, NH #Hiring #CareerArc"
"577282","oyieth","","@meadmiraz @michneurotico Creces con la leyenda de la secretaria que se desmayó por salir con el pelo mojado (que s… https://t.co/7d8h3Lfmyk"
"67709","aker88fan","","Wow!!! This T-Rex was Dieing for me to take a selfie with him.  Well he’s actually dead.   I… https://t.co/hu1K75aTAY"
"1407251","UNCLenoirJobs","hiring Vets Nursing Kinston Job Jobs ","We're #hiring! Click to apply: RN - Medical/PCU 3 West - https://t.co/ScJSc2Z15I #Vets #Nursing #Kinston, NC #Job #Jobs"
"1095033","KastroDaOne","","Weed @ BeauTie https://t.co/d9s3mM1qSd"
"288799","trendinaliaRIO","trndnl ","Você gostaria de conhecer quais foram os 355 Trending Topics na terça-feira 5 no Río de Janeiro? https://t.co/qEYL4Sgu6i #trndnl"
"710551","_RiversideCA","","current weather in Riverside: clear sky, 75°F 5% humidity, wind 5mph, pressure 1014mb"
"719230","serchov7","","Primer cena prenavideña y preaño nuevo con alextorres9324 y Flor.… https://t.co/8ShPVfoQ8Z"
"462814","xorooi","Forza XONE CCXP CCXP2017 VivaOÉpico ","Vai encarar?  #Forza #XONE #CCXP #CCXP2017 #VivaOÉpico @ CCXP - Comic Con Experience https://t.co/wY6j2yPUVe"
"751015","tmj_tn_retail","hiring job ","We're #hiring! Read about our latest #job opening here: Customer Service Associate I - https://t.co/cetKo9CBW2… https://t.co/dM9yNTmz7a"
"56713","HermosilloMX","","Hermosillo: 5:25pm: sunset"
"1084570","TerryFilicko","","Some of the lights and trees at Franklin Park @ Franklin Park Conservatory https://t.co/tjAOja2rUC"
"1263370","LACARECAREERS","hiring PatientCare ","We're #hiring! Click to apply: Customer Solution Center Member Advocate - https://t.co/eywkKRwgbf #PatientCare… https://t.co/54BFXzZd02"
"170781","tmj_mt_usa_jobs","Billings job Hiring CareerArc ","Superstars wanted! See our latest #Billings, MT #job and click to apply: Perfusionist - https://t.co/fgdorR9zSO #Hiring #CareerArc"
"408693","tmj_mop_health","job Healthcare Miami Hiring CareerArc ","Join the INTEGRIS team! See our latest #job opening here: https://t.co/hO2lNwHyoT #Healthcare #Miami, OK #Hiring #CareerArc"
"829752","trendinaliaSLZ","TheLastJedi ","Você sabia que o #TheLastJedi manteve-se durante 22 horas na sexta-feira 15 em São Luís como Assunto do Momento? https://t.co/gjAZC6dNCa"
"544713","NewsLeaderNOW","","Pre-, Postgame R.E. Lee-Appomattox Class 2 state championship https://t.co/G3RA1RePwN https://t.co/9ZmqU9nnVb"
"573152","jenwarner2012","riseandshine ","#riseandshine @ Virginia Beach Oceanfront https://t.co/bJVdjMLlug"
"914374","par3d35mx","túcorresconmigo ","Llegada a la meta de ""Christmas Run 2017"" #túcorresconmigo en… https://t.co/Rp9tf5u3JN"
"330968","trendinaliaMX","trndnl ","'Liverpool' empieza a ser Tendencia, con 193104 tweets, ocupando la 11ª posición en México. Más en https://t.co/IN7801UqsL #trndnl"
"540565","renancasilva","","Jumanji - Parte 2 - A espera da estreia do filme em CCXP - Comic Con… https://t.co/RxWNGsAAGM"
"379560","RuvilarMafer","","Ok ok cool amo este lugar.. Alone.. en Zapotecas USA Bikes Park. https://t.co/fm8nHpPCfL"
"506931","tammydavis8","","Overcoming Addiction | Managing Recovery | Healing the Individual &amp; Family  https://t.co/ju2pls6mzx"
"1166875","tmj_sac_manuf","job cintasjobs ","This #job might be a great fit for you: Loader / Unloader - 2nd Shift - https://t.co/LGTrHQf2w5 #cintasjobs… https://t.co/T5BpiozWGH"
"743396","thayvieirag","","Esse final de semana vou ficar em casa"
"1542248","paulo_schwartz","","Acabou de publicar um vídeo em Mississippi Delta Blues Bar RJ https://t.co/S9Vt6CUFjE"
"1385979","RecklessKaiser","","The Holiday drinks seem to be already out of the menu, they can't be sold without something is missing. 🙁 (@ Starbu… https://t.co/WetJB3Tjvf"
"616851","genoburneo","","Un gran pedido para Perú 🇵🇪 😊😊 mini cupcakes y galletas decoradas para primera comunión en Flor… https://t.co/9XvN4PJP1K"
"97171","tmj_san_web","hiring job ","Deloitte's #hiring! Read about Deloitte's latest #job opening here: Salesforce Senior Manager -… https://t.co/8VTmaDxSaJ"
"989392","AnnaHernandez69","TheRoadSoFar ","#TheRoadSoFar @ Tucson, Arizona https://t.co/XSIZcZ0hGM"
"1572820","tmj_oh_nursing","job Portsmouth Nursing Hiring CareerArc ","Can you recommend anyone for this #job in #Portsmouth, OH? https://t.co/BCEDiOQzoZ #Nursing #Hiring #CareerArc"
"1388049","mikaltom53","","Just posted a photo @ Howland Township, Trumbull County, Ohio https://t.co/sAy0E6nM2R"
"1502194","trendinaliaDO","PujeAzul LEvsAC ","⒈ #PujeAzul ⒉ Gigantes ⒊ Valle ⒋ Quirinito ⒌ #LEvsAC ⒍ Jonathan Villar ⒎ Leones ⒏ Año Nuevo ⒐ Danny Santana ⒑ Expor… https://t.co/bgtpaThsUO"
"198526","OceanCityCool","oceancitycool loveoc ocmd ","Monday .morning on the boards... #oceancitycool #loveoc #ocmd @ Ocean City Boardwalk https://t.co/eW5gItuPfk"
"1142442","TrApHouse_Trey","Soundcloud ","New Heat Jus Dropped on #Soundcloud Called ""BLEED"" Ft: My Bruddas @trizzybambino &amp; @dcalliswag… https://t.co/VPHzogspDt"
"53728","WalserCareers","job Automotive Plymouth Hiring ","Join the Walser Automotive Group team! See our latest #job opening here: https://t.co/lQZvQvmWf4 #Automotive #Plymouth, MN #Hiring"
"1514769","tmj_WAT_health","job Covington Healthcare Hiring CareerArc ","Interested in a #job in #Covington, WA? This could be a great fit: https://t.co/3CnGzqiApO #Healthcare #Hiring #CareerArc"
"677163","RichfieldMN","","Richfield: 7:43am: sunrise sunset will be at 4:32pm"
"1065325","yahaira028","","Mi nombre es de insta es : Yaha_biebs Mi nombre de youtuber es : Yahaira De los Santos  Espero… https://t.co/lwBpFiHXxQ"
