"","name","hashtag","text"
"1471098","GayLongBeach","","TODAY! Join the party at Hamburger Mary's Long Beach for The Brunchettes. Hosted by Jewels. Performances by Landon… https://t.co/E6Bqd5JKqU"
"1263603","cjworrell1","","My bestie bestie❤️ @ Theodore High School https://t.co/1DGHO0ECDQ"
"1749794","DjSanty593","snap chat navidad año viejo añonuevo ","#snap #chat #navidad #año #viejo #añonuevo se viene el #2018 en Chimborazo Province https://t.co/ALdcQ50npK"
"1103249","cedric_ccc","perspective jaumeplensa streetart art sculpture downtown montreal nikonphotography ","#perspective #jaumeplensa #streetart #art #sculpture #downtown #montreal #nikonphotography… https://t.co/XK84y2WjOb"
"187974","tmj_laa_jobs","Alexandria job ","See our latest #Alexandria, LA #job and click to apply: Seasonal Brand Associate - Alexandria Commons -… https://t.co/R9QhB2lMHL"
"1260236","mbails","","Tastes like Christmas - Drinking a Gingerbread Stout by @McFateBrewCo at @fatebrewco  — https://t.co/glKOxhigYC"
"663272","juanbernardoo","","I'm at 1° Batalhão de Defesa Química Biológica Radiológica e Nuclear https://t.co/0Me32PygHR"
"1282374","4444ndy","","I'm at Toyota Center in Houston, TX https://t.co/hWHMOpBTgk"
"1334802","JJAnaya","","Bridal Glam on the beautiful Neena! Book your special event today! Website link in bio. @… https://t.co/qAaMlQHh6k"
"1807916","El_Guajillo","buckeyenation usctrojans ","What’s up #buckeyenation we hope y’all beat them #usctrojans tonight! Come catch us… https://t.co/V4fT9yn3C1"
"1374318","jlgreer68","","Just posted a photo @ Lawfield Acres, Jefferson, North Carolina https://t.co/xJS2SO7hdA"
"370113","EJRobinson2014","","It’s Day #84 of the 100 Day Challenge I need you to know YOUR BLESSING IS INSIDE THE BURDEN!… https://t.co/kZLD1Cu8Vz"
"970074","juliancortesok","igers igdaily ","Estos blancos ahora quieren matarnos porque no toleran vernos tan arriba 😎🤙🏽 #igers #igdaily… https://t.co/ODaxncCVTP"
"264916","bradyoder","","I had the honor of playing for patients at the rehab unit of Forbes Hospital today! (Best… https://t.co/pdoQEirnLB"
"798539","TXBBAFW","bjj jiujitsu ","7 Black Belts in the house tonight! Congrats Professor Pahanish on 2nd degree! #bjj #jiujitsu… https://t.co/4MAIhzaYLO"
"1236645","ReedtheRealtor","PompanoBeach FL realestate ","I am looking for a buyer on 2780 NE 23 Place #PompanoBeach #FL  #realestate https://t.co/81sW0y0GrT https://t.co/ALnvtm4PNC"
"93486","sandjammwwnj","lifeonthe5mile ","OPEN till 5pm! BUY Beanies ❤️ FIGHT Cancer @sandjammwwnj #lifeonthe5mile &amp; Raising $$ EVERYDAY… https://t.co/wQZWnOdsd9"
"331498","GQforCancer","","🎁👋🏾🎅🏽 Come see us ( @gqforcancer ) TOMORROW @PhilMorFit 🎄📍1718 Belmont Ave Unit C, Windsor Mill,… https://t.co/eURcyTPU6U"
"1647380","AlexGill120","","405×4 little stiff from travelling and sitting around the last few days.  Also heavy because… https://t.co/eKinbSl89D"
